x,y
0.24,1.21
0.24,1.21
0.23,1.21
0.03,1.2
0.03,1.19
0.06,1.17
0.02,1.2
0.08,1.19
0.03,1.19
0.03,1.19
0.05,1.18
0.05,1.18
0.03,1.18
0.01,1.19
0.03,1.18
0.03,1.18
0.03,1.18
0.04,1.18
0.1,1.16
0.19,1.17
0.23,1.17
0.26,1.16
0.3,1.15
0.31,1.13
0.3,1.11
0.29,1.14
0.25,1.16
0.23,1.17
0.24,0.99
0.25,0.75
0.24,0.88
0.25,0.89
0.26,0.89
0.26,0.98
0.33,1.26
0.78,1.51
1.9,1.77
2.68,1.92
3.29,2.1
3.7,2.22
4.05,2.33
4.3,2.4
4.46,2.47
4.56,2.54
4.63,2.63
4.69,2.73
4.68,2.83
4.67,2.94
4.64,3.05
4.43,3.15
4.36,3.25
4.24,3.36
4.17,3.46
4.08,3.58
3.98,3.69
3.84,3.79
3.7,3.9
3.57,4.02
3.42,4.14
3.28,4.25
3.14,4.35
3.01,4.47
2.87,4.56
2.73,4.67
2.58,4.78
2.43,4.87
2.3,4.98
2.17,5.08
1.74,5.19
1.49,4.51
1.55,3.88
2.38,3.49
3.14,3.3
3.68,3.12
4.09,2.99
4.41,2.9
4.66,2.84
4.84,2.81
4.96,2.77
5.08,2.76
5.16,2.77
5.15,2.78
5.19,2.83
5.18,2.88
5.17,2.94
5.15,3.01
5.08,3.08
5.03,3.16
4.95,3.25
4.86,3.34
4.76,3.43
4.65,3.51
4.53,3.6
4.41,3.7
4.27,3.81
4.14,3.9
3.98,3.97
3.82,4.06
3.66,4.14
3.53,4.25
3.4,4.35
3.23,4.43
3.09,4.55
2.48,4.82
2.04,5.05
1.71,5.23
1.44,5.35
1.24,5.43
1.07,5.47
0.93,5.45
0.83,5.44
0.76,5.43
0.7,5.39
0.66,5.33
0.63,5.25
0.6,5.15
0.58,5.01
0.56,4.91
0.56,4.8
0.55,4.68
0.54,4.54
0.54,4.4
0.54,4.26
0.55,4.12
0.54,3.96
0.6,3.82
0.66,3.6
0.66,3.49
0.67,3.18
0.67,2.61
0.68,2.42
0.7,2.45
0.73,2.43
0.77,2.38
0.78,2.32
1.31,2.27
2.39,2.28
3.15,2.24
3.66,2.23
4.08,2.23
4.38,2.25
4.61,2.26
4.77,2.27
4.9,2.27
4.98,2.31
5.0,2.32
5.02,2.35
5.01,2.4
5.01,2.47
4.92,2.53
4.87,2.59
4.77,2.69
4.67,2.76
4.71,2.86
4.62,2.95
4.51,3.04
4.5,3.16
4.46,3.27
4.37,3.36
4.27,3.46
4.16,3.57
4.02,3.67
3.88,3.79
3.75,3.89
3.6,4.0
3.47,4.1
3.32,4.2
3.19,4.31
2.53,4.61
2.06,4.82
1.68,4.98
1.38,5.09
1.16,5.13
0.99,5.2
0.84,5.23
0.74,5.22
0.68,5.21
0.65,5.15
0.64,5.09
0.63,5.01
0.63,4.93
0.6,4.83
0.58,4.69
0.54,4.56
0.53,4.26
0.52,4.18
0.51,4.09
0.52,3.98
0.57,3.88
0.55,3.74
0.61,3.62
0.65,3.05
0.66,2.71
0.64,2.71
0.61,2.03
0.59,1.86
0.63,1.99
0.66,2.06
0.67,1.66
0.71,1.72
0.55,1.55
0.47,1.45
0.42,1.37
0.39,1.31
