x,y,type
0,0,anchor
-0.52,7.23,anchor
6.30,0,anchor
0.17,1.1,tag

0.14,1.11,tag

0.15,1.15,tag

0.38,1.31,tag

1.6,1.55,tag

2.33,1.68,tag

2.05,1.67,tag

1.45,1.6,tag

1.44,1.64,tag

2.33,1.75,tag

3.13,1.82,tag

2.93,1.82,tag

2.11,1.67,tag

1.56,1.55,tag

1.23,1.56,tag

1.33,1.64,tag

1.85,1.73,tag

2.75,1.85,tag

3.64,1.91,tag

4.0,1.94,tag

3.68,1.93,tag

2.86,1.87,tag

2.06,1.72,tag

1.68,1.19,tag

3.14,1.61,tag

2.4,1.63,tag

1.74,1.59,tag

1.55,1.63,tag

2.16,1.79,tag

3.14,1.88,tag

3.61,1.93,tag

3.24,1.89,tag

2.35,1.78,tag

1.73,1.68,tag

1.56,1.65,tag

2.08,1.85,tag

2.91,1.94,tag

3.75,1.98,tag

3.73,1.94,tag

3.07,1.9,tag

2.35,1.75,tag

1.81,1.61,tag

1.38,1.43,tag

1.05,1.38,tag

0.81,1.34,tag
